Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.52  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Pulse,Off
TempUnit,C
Sampling interval,1s
Total data points,145       
Trigger,0         
Start time,2023-08-11,15:57:19
End time,2023-08-11,15:59:44
Trigger time,2023-08-11,15:57:20
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",DC,5V,,Off,+14.43,-18.40,[GPM],28,5,6,0
CH2,"ACH 2","M",TEMP,TC_K,2000degC,Off,+2000.0,-200.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+2000.0,-200.0,[degC],9,22,8,0
CH4," CH 4","M",DC,5V,,Off,+15.000,-22.500,[PSI],21,0,21,0
CH5," CH 5","M",DC,5V,,Off,+15.000,-22.500,[PSI],28,16,2,0
CH6," CH 6","M",DC,5V,,Off,+7.499,-11.250,[PSI],5,23,30,0
CH7," CH 7","M",DC,5V,,Off,+7.500,-11.250,[PSI],30,23,1,0
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line Width
Pulse1,INST,L,,500000,0,[C],28,5,6,0
Pulse2,INST,L,,500000,0,[C],0,13,23,0
Pulse3,INST,L,,500000,0,[C],9,22,8,0
Pulse4,INST,L,,500000,0,[C],21,0,21,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,Pulse1,Pulse2,Pulse3,Pulse4,Alarm1-10,AlarmLogic/Pulse,AlarmOut
NO.,Time,ms,"GPM","°C","°C","PSI","PSI","PSI","PSI","C","C","C","C","A1234567890","ALP1-4","AO1234"
        52,2023/08/11 15:58:11,  0,+  3.37,+  26.9,+  26.9,+11.604,- 0.163,+11.927,- 0.376,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        53,2023/08/11 15:58:12,  0,+  3.24,+  26.8,+  26.9,+12.004,- 0.218,+12.544,- 0.448,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        54,2023/08/11 15:58:13,  0,+  3.46,+  26.9,+  27.0,+12.784,- 0.197,+13.148,- 0.447,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        55,2023/08/11 15:58:14,  0,+  3.48,+  26.9,+  27.0,+13.228,- 0.238,+13.590,- 0.272,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        56,2023/08/11 15:58:15,  0,+  3.83,+  26.8,+  27.0,+13.860,- 0.105,+14.238,- 0.396,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        57,2023/08/11 15:58:16,  0,+  3.40,+  26.8,+  26.9,+14.790,- 0.146,+14.832,- 0.374,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        58,2023/08/11 15:58:17,  0,+  4.07,+  26.9,+  26.9,+15.124,- 0.141,+15.335,- 0.423,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        59,2023/08/11 15:58:18,  0,+  3.33,+  26.9,+  26.9,+15.639,- 0.122,+16.001,- 0.355,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        60,2023/08/11 15:58:19,  0,+  4.38,+  26.8,+  27.0,+15.915,- 0.099,+16.522,- 0.410,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        61,2023/08/11 15:58:20,  0,+  3.94,+  26.9,+  27.0,+17.033,- 0.191,+16.862,- 0.476,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        62,2023/08/11 15:58:21,  0,+  3.94,+  26.9,+  27.0,+17.274,- 0.105,+16.878,- 0.380,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        63,2023/08/11 15:58:22,  0,+  3.41,+  26.9,+  27.0,+17.848,- 0.086,+16.878,- 0.398,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        64,2023/08/11 15:58:23,  0,+  3.85,+  26.9,+  27.0,+18.994,- 0.144,+16.878,- 0.298,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        65,2023/08/11 15:58:24,  0,+  3.62,+  26.9,+  27.0,+18.956,- 0.143,+16.878,- 0.411,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        66,2023/08/11 15:58:25,  0,+  3.47,+  26.9,+  27.0,+19.256,- 0.107,+16.878,- 0.174,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        67,2023/08/11 15:58:26,  0,+  4.23,+  26.9,+  27.0,+19.226,- 0.092,+16.878,- 0.265,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        68,2023/08/11 15:58:27,  0,+  4.10,+  26.9,+  27.0,+18.924,- 0.109,+16.878,- 0.235,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        69,2023/08/11 15:58:28,  0,+  4.16,+  26.9,+  27.0,+18.896,- 0.038,+16.878,- 0.420,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        70,2023/08/11 15:58:29,  0,+  3.56,+  26.9,+  27.0,+18.975,- 0.071,+16.878,- 0.278,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        71,2023/08/11 15:58:30,  0,+  4.47,+  26.9,+  27.0,+18.773,- 0.193,+16.878,- 0.431,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        72,2023/08/11 15:58:31,  0,+  4.17,+  26.9,+  27.0,+18.733,- 0.051,+16.878,- 0.437,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        73,2023/08/11 15:58:32,  0,+  4.25,+  26.9,+  27.0,+19.110,- 0.066,+16.878,- 0.408,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        74,2023/08/11 15:58:33,  0,+  4.31,+  26.9,+  27.0,+19.059,- 0.109,+16.878,- 0.165,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        75,2023/08/11 15:58:34,  0,+  4.39,+  26.9,+  27.0,+19.119,- 0.071,+16.878,- 0.278,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        76,2023/08/11 15:58:35,  0,+  3.70,+  26.9,+  27.0,+19.254,- 0.128,+16.878,- 0.413,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        77,2023/08/11 15:58:36,  0,+  4.77,+  26.9,+  27.0,+19.234,- 0.159,+16.878,- 0.317,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        78,2023/08/11 15:58:37,  0,+  4.31,+  26.9,+  27.0,+19.284,- 0.079,+16.878,- 0.208,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        79,2023/08/11 15:58:38,  0,+  4.09,+  26.9,+  27.0,+19.082,- 0.161,+16.878,- 0.300,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        80,2023/08/11 15:58:39,  0,+  4.32,+  26.9,+  27.0,+19.048,- 0.064,+16.878,- 0.462,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        81,2023/08/11 15:58:40,  0,+  4.39,+  26.9,+  27.0,+19.230,- 0.139,+16.878,- 0.305,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        82,2023/08/11 15:58:41,  0,+  3.86,+  26.9,+  27.0,+18.439,- 0.120,+16.878,- 0.340,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        83,2023/08/11 15:58:42,  0,+  3.77,+  26.9,+  27.0,+18.113,- 0.120,+16.878,- 0.313,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        84,2023/08/11 15:58:43,  0,+  3.92,+  26.9,+  27.0,+17.636,- 0.126,+16.878,- 0.474,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        85,2023/08/11 15:58:44,  0,+  3.70,+  26.9,+  27.0,+16.956,- 0.144,+16.615,- 0.476,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        86,2023/08/11 15:58:45,  0,+  3.70,+  26.9,+  27.0,+16.106,- 0.124,+16.293,- 0.355,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        87,2023/08/11 15:58:46,  0,+  3.95,+  26.9,+  27.0,+15.660,- 0.088,+15.827,- 0.441,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        88,2023/08/11 15:58:47,  0,+  3.31,+  26.9,+  27.0,+14.942,- 0.122,+14.903,- 0.442,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        89,2023/08/11 15:58:48,  0,+  3.48,+  26.9,+  27.0,+14.256,- 0.163,+14.579,- 0.392,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        90,2023/08/11 15:58:49,  0,+  3.70,+  26.9,+  27.0,+13.845,- 0.174,+13.888,- 0.534,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        91,2023/08/11 15:58:50,  0,+  3.24,+  26.9,+  27.0,+13.170,- 0.141,+13.148,- 0.402,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        92,2023/08/11 15:58:51,  0,+  3.49,+  26.8,+  27.0,+12.643,- 0.163,+12.717,- 0.552,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        93,2023/08/11 15:58:52,  0,+  3.70,+  26.9,+  27.0,+12.056,- 0.163,+12.222,- 0.447,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        94,2023/08/11 15:58:53,  0,+  3.85,+  26.9,+  27.0,+11.573,- 0.139,+11.483,- 0.544,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        95,2023/08/11 15:58:54,  0,+  3.70,+  26.9,+  27.0,+10.858,- 0.195,+11.089,- 0.439,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        96,2023/08/11 15:58:55,  0,+  3.40,+  26.9,+  27.0,+10.463,- 0.174,+10.667,- 0.555,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        97,2023/08/11 15:58:56,  0,+  3.46,+  26.9,+  27.0,+ 9.964,- 0.204,+10.219,- 0.534,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        98,2023/08/11 15:58:57,  0,+  4.18,+  26.9,+  27.0,+ 9.334,- 0.201,+ 9.526,- 0.553,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        99,2023/08/11 15:58:58,  0,+  3.46,+  26.9,+  27.0,+ 8.807,- 0.199,+ 9.098,- 0.471,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
       100,2023/08/11 15:58:59,  0,+  3.18,+  26.9,+  27.0,+ 8.558,- 0.188,+ 8.711,- 0.503,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
       101,2023/08/11 15:59:00,  0,+  3.18,+  26.9,+  27.0,+ 7.849,- 0.186,+ 8.042,- 0.491,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
       102,2023/08/11 15:59:01,  0,+  2.94,+  26.8,+  27.0,+ 7.761,- 0.191,+ 7.733,- 0.502,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
       103,2023/08/11 15:59:02,  0,+  3.09,+  26.9,+  27.0,+ 7.119,- 0.144,+ 7.452,- 0.451,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
       104,2023/08/11 15:59:03,  0,+  2.50,+  26.9,+  27.0,+ 6.819,- 0.201,+ 7.001,- 0.538,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
       105,2023/08/11 15:59:04,  0,+  2.66,+  26.9,+  27.0,+ 6.105,- 0.214,+ 6.383,- 0.528,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
       106,2023/08/11 15:59:05,  0,+  2.57,+  26.9,+  27.0,+ 5.829,- 0.197,+ 6.094,- 0.533,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
       107,2023/08/11 15:59:06,  0,+  2.51,+  26.9,+  27.0,+ 5.503,- 0.204,+ 5.782,- 0.518,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
       108,2023/08/11 15:59:07,  0,+  2.26,+  26.9,+  27.0,+ 4.963,- 0.268,+ 5.231,- 0.494,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
