t,ax,ay,az,gx,gy,gz
45.90,8024,-288,-15436,1529,961,788
46.00,7972,-284,-15408,860,2409,484
46.10,7988,-304,-15592,214,3803,165
46.20,8060,-380,-15808,-425,5060,-166
46.30,8216,-344,-16012,-1090,6237,-562
46.40,8280,-440,-16288,-1775,7226,-894
46.50,8360,-380,-16568,-2335,7963,-1233
46.60,8396,-376,-16644,-2818,8535,-1481
46.70,8404,-396,-16580,-3101,8671,-1588
46.80,8268,-324,-16488,-3248,8539,-1604
46.90,8212,-316,-16172,-3314,8140,-1630
47.00,7996,-356,-15836,-3345,7399,-1654
47.10,7888,-296,-15432,-3157,6388,-1569
47.20,7704,-176,-14956,-2851,5088,-1442
47.30,7568,-204,-14576,-2388,3595,-1253
47.40,7332,-140,-14252,-1804,2004,-1023
47.50,7380,-120,-14100,-1221,252,-758
47.60,7380,-40,-14164,-529,-1386,-476
47.70,7444,-76,-14352,158,-2989,-188
47.80,7484,-140,-14468,858,-4442,82
47.90,7720,-104,-14848,1522,-5711,391
48.00,7900,-124,-15300,2220,-6884,709
48.10,8092,-148,-15772,2866,-7815,956
48.20,8284,-152,-16176,3308,-8483,1111
48.30,8396,-244,-16452,3686,-8842,1278
48.40,8488,-180,-16716,3923,-8918,1397
48.50,8544,-184,-16768,4131,-8707,1518
48.60,8576,-160,-16760,4251,-8182,1704
48.70,8572,-116,-16664,4270,-7382,1836
48.80,8424,-116,-16304,4172,-6353,1897
48.90,8304,-212,-16096,3892,-5141,1838
49.00,8160,-208,-15744,3380,-3733,1637
49.10,8128,-228,-15644,2844,-2293,1305
49.20,8008,-216,-15396,2189,-719,994
49.30,8024,-204,-15420,1608,710,763
49.40,8044,-204,-15460,1072,2203,465
49.50,8048,-240,-15576,553,3570,190
49.60,8104,-296,-15824,78,4835,-91
49.70,8180,-372,-15992,-507,5947,-412
49.80,8384,-372,-16292,-1174,7034,-797
49.90,8392,-280,-16140,-1701,7816,-1208
50.00,8472,-456,-17120,-2287,8054,-1558
